Sentence1,Sentence2,Label
वेळीच डागडुजी न झाल्यास दुर्घटना होण्याची शक्यता नाकारता येत नाही,"1. दुर्घटना होण्याची शक्यता नाकारता येत नाही, जर वेळेवर डागडुजी न केली तर.",P
त्यामुळे नागरिकांमधून संतप्त प्रतिक्रिया उमटत आहेत,त्यामुळे नागरिकांमध्ये तीव्र नाराजी व्यक्त केली जात आहे.,P
तिचा नवरा दारुड्या आहे,याखेरीज अब्रारवर गुजरात साखळी बॉम्बस्फोट प्रकरणीसुद्धा गुन्हे दाखल करण्यात आले होते,NP
मद्यधुंद अवस्थेत शिवशाही बस पळविणाऱ्या आणि प्रवाशांच्या जीवाशी खेळणाऱ्या बसचालकाची हकालपट्टी करण्यात आली आहे,मद्यधुंद अवस्थेत शिवशाही बस चालवून प्रवाशांच्या जीवाशी खेळणाऱ्या बसचालकाला हकालपट्टी करण्यात आली आहे.,P
प्रश्नाचा मजकूर शक्य तो टाइप केलेला किंवा किमान सुवाच्य हस्ताक्षरात असावा,"प्रश्न शक्य तो टाइप केलेले, किमान सुवाच्य हस्ताक्षरात असावेत",P
लॉरा सालमन यांनी व्यक्त केले आहे,लॉरा सालमन यांनी पुण्यात व्यक्त केले,NP
गरज नसताना आक्रमक रूप धारण करू नका,गरजेशिवाय आक्रमक होऊ नका,P
"या प्रकरणी पोलिसांनी कुमार कांबळे, राहूल कुरणे, गुंडया उर्फ विशाल कांबळे, सुनिल कांबळे या चौघांवर गुन्हा दाखल केला आहे","या फिर्यादीवरून पोलिसांनी कुमार बाबासो कांबळे, राहुल नामदेव कुरणे, सुनिल उत्तम कांबळे, गुंड्या उर्फ विशाल राजेंद्र कांबळे या चौघावर गुन्हा दाखल केला आहे",NP
वरिष्ठ अधिकाऱ्यांनी पोलिस ठाण्याला भेटी दिल्यानंतर हे प्रकार समोर आले,पोलीस ठाण्याला वरिष्ठ अधिकाऱ्यांनी भेट दिल्यानंतर हे प्रकार उघड झाले,P
"या आधी २००८, २०१२ आणि २०१६च्या ऑलिम्पिकमध्ये तिची संधी हुकली होती","याआधीच्या २००८, २०१२ आणि २०१६च्या ऑलिंपिक स्पर्धांमध्ये तिची संधी हुकली होती.",NP
काही संबंधित कीवर्ड्सच्या मदतीने आम्ही फोटोला सर्च केले,आम्ही काही संबंधित कीवर्डच्या मदतीने फोटो शोधला,P
सोशल मीडियाच्या गैरवापराबद्दल वारंवार बोललं जातं,सोशल मीडियाचा गैरवापर करण्यात येत असल्याच्या तक्रारी वाढल्या आहे,P
नेमकी हीच संधी साधून या औषधांचा काळा बाजार केला जात असल्याचे समोर आले,याच संधीचा फायदा घेत या औषधांचा काळाबाजार होत असल्याचे समोर आले,P
त्यानंतर दुपारी १२ वाजता जैन हिल्स येथील गौरी या निवासस्थानी पार्थिव नेण्यात येईल,त्यानंतर दुपारी १२ वाजता जैन हिल्स येथील ‘गौरी’ या त्यांच्या निवासस्थानी पार्थिव नेण्यात आले,NP
२२० कोटींचा हा प्रकल्प काही महिन्यांपूर्वी ४५० कोटींवर पोहचला असल्याचे कंपनीकडून सांगण्यात आले होते,हा प्रकल्प काही महिन्यांपूर्वी ४५० कोटींवर पोहोचला असल्याचे कंपनीकडून सांगण्यात आले होते,NP
इतकंच नाही तर ट्रायल कोर्टानंही आरोपीची एक याचिका फेटाळून लावलीय,एवढेच नाही तर ट्रायल कोर्टाने आरोपींची एक याचिकाही फेटाळली,P
"दुर्दैवाने शासन, प्रशासनाचेही त्याकडे दुर्लक्ष झाले",पटसंख्येची चर्चा गणवेशाकडे दुर्लक्ष निधी उपलब्ध असूनही राज्य शासनाच्या जीआरमुळे मनपा शाळेतील मुले गणवेशापासून वंचित आहेत,NP
"मुख्यमंत्री कॅशलेसच्या केवळ रंजक गप्पा करीत आहेत, अशी टीका विधान परिषदेचे विरोधी पक्षनेते धनंजय मुंडे यांनी केली","मुख्यमंत्री फसवणूक करीत आहेत’, असा घणाणाती आरोप विधान परिषदेतील विरोधी पक्ष नेते धनंजय मुंडे यांनी केला",NP
या संमेलनाच्या उद्घाटनप्रसंगी शिंदे बोलत होते,या मैफलीचे औपचारिक उद्घाटन करताना शिंदे बोलत होते,NP
" मुंबई ः मराठी भाषा ग्लोबल व्हावी, यासाठी अधिक स्मार्टपणे लोकांसमोर जाणे आवश्यक आहे"," मुंबई मराठी भाषा ग्लोबल व्हावी, यासाठी अधिक स्मार्टपणे लोकांसमोर जाणे आवश्यक आहे",NP
काहीजणांना कायमचे अपंगत्व आले आहे,काहींना आयुष्यभर अपंगत्वही आले आहे,P
उद्या सकाळी साडेनऊ वाजता ‘राजभवन’वर अजितदादांचा शपथविधी होणार असल्याचं राजशिष्टाचार विभागानं स्पष्ट केलंय,"परंतु, उद्या सकाळी साडेनऊ वाजता अजित पवारांचा शपथविधी ठरल्याची माहिती राजशिष्टाचार विभागानं दिली आहे",NP
बाबासाहेब आंबेडकर यांची १२७ वी जयंती शहराच्या विविध भागांत शनिवारी उत्साहात साजरी करण्यात आली,बाबासाहेब आंबेडकर यांची १२७ वी जयंती शनिवारी नगरमध्ये उत्साहात साजरी करण्यात आली,NP
करोना संक्रमितांच्या उपचारासाठी शहरात प्रशासनाच्यावतीने खासगी रुग्णालयात बेडची व्यवस्था केली गेली,कोरोना बाधित रुग्णांवर उपचार करण्यासाठी शहरातील प्रशासनाच्या वतीने खासगी रुग्णालयांमध्ये खाटांची व्यवस्था करण्यात आली आहे,P
"या ठिकाणी ११३३ केव्हीच्या प्रेस, मोटवानी आणि एमइएस या तीन उच्चदाब वाहिन्या आहेत","या ठिकाणी ११३३ किलोव्होल्टच्या प्रेस, मोटवानी आणि एमइएस या तीन उच्चदाब वाहिन्या आहेत",P
पीएमओला पीएम केअर फंडावर आरटीआय अंतर्गत किती अर्ज आले?,पीएम केअर फंडवर आरटीआय अंतर्गत पीएमओकडे किती अर्ज प्राप्त झाले आहेत?,P
मात्र शुक्रवारचा रास्ता रोको यशस्वी झाल्याचे सांगत एलबीटीचा विरोध अधिक तीव्र करण्यासाठी शनिवारी महामोर्चा काढण्यात येणार असल्याची माहिती व्यापारी संघटनेचे पदाधिकारी प्रफुल्ल संचेती यांनी दिली,यात शुक्रवारी नाशिकरोड व मुंबईनाका येथे रास्ता रोको करण्यात येणार असून शनिवारी महापालिकेवर मोर्चा काढण्यात येणार असल्याची माहिती व्यापारी संघटनेचे प्रफुल्ल संचेती यांनी दिली,NP
• रेपो दरात पाव टक्का कपात,"अशावेळी त्यांच्यावरचा आर्थिक भार कमी करण्याच्या दृष्टीने रिझर्व्ह बँके रेपो रेटमध्ये पाव टक्क्याची कपात करेल, असा अंदाज वर्तवला जात होता",NP
"सेवानिवृत्तही सरसावलेही संस्था वाचवण्यासाठी तसेच चालवण्यासाठी पालिकेचे सेवानिवृत्त अधिकारी सुनिल परब, महादेव गोळवसकर, राजेश मुदम, सुधीर शेंडे जबाबदारी स्वीकारण्यास पुढे आले आहेत","सेवानिवृत्त अधिकारी सुनील परब, महादेव गोळवसकर, राजेश मुदम, आणि सुधीर शेंडे संस्थेचे संरक्षण व व्यवस्थापन करण्यासाठी पुढे आले आहेत.",NP
स्थानिक गुन्हेशाखा पोलिसांनी गिट्टीखदान पोलिसांच्या मदतीने अशरफला अटक केली,याप्रकरणी गुन्हे शाखेच्या खंडणीविरोधी पथकाच्या अधिकाऱ्यांनी रिझवानसह अश्फाक आणि अहमदरझा या दोघांनाही अटक केली होती,NP
परंतु तरी देखील पुष्कळ शिवभक्त शिबिरात आले होतेच,"शिगावमधील विद्यार्थी या उपक्रमात मोठ्या संख्येने सहभागी होतील, असेही त्यांनी सांगितले",NP
"सुदाम मुंडेसाठी हा सापळा लावण्यात आला होता, मात्र डॉ","सुदाम मुंडेसाठी हा सापळा हलवण्यात आला होता, मात्र डॉ.",NP
या प्रसंगी उपस्थित भक्तांनी उत्साहाने ‘बाबाजीकी जय हो’ असे नारे दिले.,यावेळी उपस्थित भक्तांकडून ‘बाबाजीकी जय हो’चे नारे दिले गेले,NP
तेव्हापासून दोघांमधील वाद विकोपाला गेला होता,त्या घटनेनंतर दोघांमधील मतभेद अधिक तीव्र झाले.,P
तरी देखील थकबाकीची रक्कम भरलेली नाही,हे कलम जामीनपात्र असल्याने गुन्ह्याचे प्रमाण कमी झाले नव्हते,NP
प्रणव मुखर्जी यांना गंभीर स्थितीत सोमवारी दुपारी १२ वाजता दिल्लीतील कॅन्ट येथील लष्कराच्या रुग्णालयात दाखल करण्यात आलं होतं,प्रणव मुखर्जी यांची प्रकृती चिंताजनक असल्याने त्यांना सोमवारी दुपारी १२ वाजता दिल्लीच्या कँट येथील लष्करी रुग्णालयात दाखल करण्यात आले.,P
"या अभियानामुळे अर्भकमृत्यू, बालमृत्यू व मातामृत्यू आटोक्यात आणण्यास सरकारला यश प्राप्त होऊ लागले आहे",बालमृत्यू थांबविण्यासाठी व त्यावर नियंत्रण मिळविणे ही महिला व बालविकास यंत्रणा व जिल्हा परिषद आरोग्य विभागाची जबाबदारी आहे,NP
तिसऱ्या टप्प्यातील चाचणीची तयारी आणखी काही देशांमध्ये सुरू असताना चीनमधील लष्करी जवानांना ही लस टोचण्यात आली असल्याचे वृत्त समोर आले होते,एका बाजूला तिसऱ्या टप्प्यातील चाचणी सुरू असताना आता दुसऱ्या बाजूला चीनने सरसकट लष्करातील जवानांना लस देण्यास सुरुवात केली आहे,P
धोनी अगदी कधी तरीच आमच्या सोबत क्रिकेटबद्दल बोलतो,धोनी कधीकधी आमच्याशी क्रिकेटबद्दल बोलतो,P
गेल्या २०१५ च्या वर्ल्डकपमध्ये इंग्लंडला पहिल्या फेरीतूनच गाशा गुंडाळावा लागला होता,२०१५ च्या वर्ल्डकपमध्ये तर इंग्लंडला पहिल्याच फेरीतून गाशा गुंडाळावा लागला होता,P
"मात्र, सिव्हिल हॉस्पिटलच्या कार्यपद्धतीमध्ये सुधारणा होत नसल्याचा आरोप डॉ",करोनावर अद्याप लस दृष्टिक्षेपात नसल्याने साथीवर नियंत्रण मिळवणेही अवघड दिसत आहे,NP
विरोधी पक्ष भाजपने सीबीआय चौकशीची मागणी लावून धरल्यानं या प्रकरणाला राजकीय वळण लागलं आहे,"या प्रकरणाचा तपास सीबीआयकडे द्यावा, अशी मागणी विरोधी पक्ष भाजप करत आहेत",P
सारंग कोतवाल यांच्या खंडपीठापुढे मांडला,सारंग कोतवाल यांच्या खंडपीठापुढे सुनावणी झाली,NP
२५) मुंबई महापालिका आणि २५ व २६ नोव्हेंबर रोजी जलसंपदा विभागातील कनिष्ठ अभियंता पदाची परीक्षा होणार आहे,यासोबतच २५ नोव्हेंबर आणि २६ नोव्हेंबरला जलसंपदा विभागातील कनिष्ठ अभियंता (जेई) पदासाठीची परीक्षा प्रत्येक जिल्ह्यात होणार आहे,NP
चिपळूण बाजारपेठ जलमय झाली आहे,"चिपळूण शहरात बाजारपेठ, चिंचनाका, आईस फॅक्टरी, पोस्ट ऑफीस आणि वडनाका परिसरात मोठ्या प्रमाणावर पाणी साचलं आहे",NP
त्यावर लष्कराने फारसा कधी आक्षेप घेतला नाही,लष्कराने क्वचितच त्यावर आक्षेप घेतला,P
सरकारच्या पुरातत्त्व विभागाकडेही मोडी लिपीच्या तज्ज्ञांची वानवा आहे,औरंगाबादच्या शासकीय कला महाविद्यालयात शिक्षकांची संख्या पुरेशी नाही,NP
मुलींचं लग्नाचं वय १८ वरुन २१ करण्याविषयी तुला काय वाटतं?,लग्नाकरता मुलीचे वय १८ व मुलाचे वय २१ का बरे असते?,NP
त्याने आपल्या राहत्या घरी गळफास लावून आत्महत्या केली,त्यानंतर त्यांनी घरातच गळफास घेऊन आत्महत्या केली,P
कुठेही अनुचित घटना झाली नाही,किरकोळ घटना वगळता कोणताही अनुचित प्रकार घडला नाही,NP
"दुष्काळ, ओला दुष्काळ यांवर जास्त काम करावे लागणार आहे", ओला दुष्काळ यावर काम करावे लागणार आहे,NP
दोन आरोपींविरुद्ध सरकारी कामात अडथळा आणल्याचा गुन्हा ठाणेनगर पोलिस ठाण्यात दाखल करण्यात आला आहे,"दोघांविरुद्ध गुन्हा दाखल झाला आहे, सरकारी कामात अडथळा आणल्याबद्दल.",P
यात ड्यूल नॅनो सिम सपोर्ट येत असून हा फोन अँड्रॉयड १० वर बेस्ड ऑफर केला आहे,ड्यूल नॅनो सिम सपोर्ट असलेला हा फोन अँड्रॉयड १० ओएस वर काम करतो,P
त्यातील यशस्वी मुलांना शिष्यवृत्तीही देण्यात आली,त्यातून यशस्वी मुलांना शिष्यवृत्तीही देण्यात आली,P
या घटनेनंतर महाराष्ट्रकर्नाटक सीमेवरील शिवभक्तांमध्ये संतापाची लाट पसरली आहे,या घटनेमुळे शिवभक्तांमध्ये संतापाची लाट उसळली आहे,P
त्यावर या अनुषंगाने कार्यवाही करण्याची सूचना समितीचे अध्यक्ष विलास मडिगेरी यांनी केली,"त्यावर उपाययोजना करावी, अशा सूचना समितीचे अध्यक्ष मडिगेरी यांनी दिल्या",P
या अॅप्सचे भारतात कोटींवर यूजर्स होते,ही अॅप्स भारतात करोडो लोक वापरतात,P
भविष्यात फायदा होईल,भविष्यात याचा लाभ मिळेल,P
डबल इंजिन हेलिकॉप्टर हे बरेच महागडे असते,२ हेलिकॉप्टर्सच्या मदतीनं महालक्ष्मी एक्स्प्रेसची पाहणी,NP
तर दुसरीकडे अनेक कॉलेजांच्या प्रशासनानं एफवाय आणि एसवायच्या सेमिस्टर १ ते ४च्या एटीकेटी परीक्षेचं वेळापत्रक जाहीर करण्याचे संकेत दिले आहेत,याबाबत विद्यापीठाला विद्यार्थ्यांनी निवेदन दिले,NP
नाशिक महापालिकेच्या याचिकेत सर्व प्रतिवादींना नोटीस बजावण्याचे आदेश हायकोर्टाने दिले आहेत,राज्य शासनासह सर्व प्रतिवादींना नोटीस बजावण्याचे आदेश न्या,NP
कर्क सुखसमृद्धीत वाढ होईल,वृषभ मित्र अथवा नातेवाईकांमध्ये पैशांचे व्यवहार होतील,NP
संघाचे काम मोठे आहे,"विशेष म्हणजे या संस्थेची सेंट्रल बँक ऑफ इंडिया ही अधिकोश बँक असून, या बँकेकडून संस्था कर्ज घेऊन ते सभासदांना वाटते",NP
त्याबाबत आमदार विनोद तावडे यांच्या अध्यक्षतेखाली असोसिएशनच्या झालेल्या बैठकीत यावर चर्चा करण्यात आली,त्याबाबत आमदार​ यांच्या अध्यक्षतेखाली असोसिएशनच्या झालेल्या बैठकीतयावर चर्चा करण्यात आली,NP
गोधेगाव भागातील सात जनावरे लम्पी स्किन डिसीज या आजाराने बाधित झाली आहेत,गोधेगाव परिसरातील सात जनावरांना लम्पी त्वचा रोगाची लागण झाली आहे,P
त्यासाठी नारळाची मागणी आहे,खैबर पख्तुनख्वा प्रांतात नव्यानेच समाविष्ट झालेल्या टोळ्यांच्या या भागात शनिवारीच प्रथमच निवडणुका झाल्या होत्या,NP
कोटकृषी महोत्सवास प्रतिसाद मिळत असून नागरिकांची गर्दी होत आहे,कोटकृषी महोत्सवास प्रतिसाद मिळत असून नागरिकांची गर्दी होत आहे,P
तसं पत्र त्यांनी राज्याचे गृहमंत्री अनिल देशमुख यांना दिलं होतं,त्यांनी राज्याचे गृहमंत्री अनिल देशमुख यांना ते पत्र दिलं होतं.,P
संध्याकाळी ७ वाजून २९ मिनिटापासून मला निवृत्त समजा असा मेसेज धोनीने टाकला,संध्याकाळी ७:२९ पासून धोनीने त्याला निवृत्त समजण्याचा संदेश पाठवला,P
या तक्रारीवरून पोलिसांनी संतोष पाटील याच्यावर फसवणुकीसह बनवाटगिरी केल्याप्रकरणी गुन्हा दाखल करून त्याचा शोध सुरू केला आहे,या प्रकरणी एनआरआय पोलिसांनी संतोष पाटील याच्यावर फसवणुकीसह बनावटगिरी केल्याप्रकरणी गुन्हा दाखल करून त्याचा शोध सुरू केला होता.,NP
मात्र मुदत संपलेल्या १४ मार्केटमधील गाळ्यांचा लिलाव करण्याचा निर्णय महासभेने घेतलेला असतानाही त्या रकमेचा अंदाजपत्रकात उल्लेख केलेला नाही,"मात्र, महापालिकेने नुकताच शासनाच्या सुचनेनुसार १४ मार्केटमधील गाळ्यांचा लिलाव करण्याचा ठराव केलेला असतानादेखील त्यातून मिळणाऱ्या रकमेची जमा खात्यात तरतूद केलेली नाही",NP
या खुनामागे नरबळीची शक्यता व्यक्त करण्यात आली होती,त्यामुळे नरबळीची शक्यता व्यक्त करण्यात येत होती,NP
ठाण्यातील म्युज फाऊंडेशन या सामाजिक संस्थेने पुढाकार घेऊन ठाण्यातील बाळकूम भागातील खाडी किनाऱ्यावरील एप्रिल २०१० ते एप्रिल २०२० या १० वर्षांच्या परिस्थितीचा आढावा घेतला,ठाण्यातील म्युज फाऊंडेशन या सामाजिक संस्थेने ठाण्यातील बाळकूम भागातील खाडीकिनाऱ्यावर  एप्रिल २०१० ते एप्रिल २०२० या १० वर्षांच्या परिस्थितीचा आढावा घेण्यासाठी पुढाकार घेतला,P
राज्यात आज ३०० करोना बाधित रुग्णांच्या मृत्यूंची नोंद झाली,आज राज्यात तब्बल ३०० जणांना करोनामुळं आपले प्राण गमवावे लागले आहेत,P
त्यानंतर पोलिसांनी माघार घेतली होती,त्यानंतर पोलिसांची पीछेहाट झाली,P
त्यातच एफडीएदेखील कारवाया करत आहेत,त्यात एफडीएनेही कारवाई केली आहे,P
एनआयसीकडून (नॅशनल इन्फॉर्मेशन सेंटर) मतदारांची यादी या कंपनीकडे पाठविताना लाखो मतदारांची नावेच गायब झाल्याची शक्यता वर्तवण्यात येत आहे,एनआयसी (नॅशनल इन्फॉर्मेशन सेंटर) कडून मतदारांची यादी या कंपनीकडे पाठविताना लाखो मतदारांची नावेच गायब झाल्याची शक्यता वर्तविण्यात येत आहे,NP
रुग्णांना टाळाटाळ करणाऱ्या मिरजेतील एका रुग्णालयावर महापालिका प्रशासनाने कारवाई केली आहे,पालिकेच्या रुग्णालयात कोट्यवधी रुपयांचा औषध पुरवठा करण्यात ११ कंत्राटदारांनी विलंब केला होता,NP
५ टक्के दराने कर्ज देणार आहे,"५ टक्क्यांनी महाग, तर एसटी महामंडळाच्या शिवनेरी वातानुकूलित बसचा प्रवास पाच रुपयांनी स्वस्त झाला आहे",NP
ते गुरुवारी म्हैसमाळ येथे मुक्कामी गेले असता चोरांनी डाव साधला,गुरुवारी ते म्हैसमाळ येथे मुक्कामाला असताना चोरट्यांनी धडक दिली,P
रघुजींजवळ शिकारीकरिता प्रशिक्षित केलेले चित्ते होते,रघुजीने चित्त्यांना शिकारीचे प्रशिक्षण दिले होते,P
ग्राहकांनी मोबाइलद्वारे गॅस नोंदणी केल्यानंतर ग्राहकाला गॅस एजन्सीकडून सिलिंडर दिले जातात,मोबाइलवरून गॅस नोंदणी केल्यानंतर गॅस ग्राहकांना सिलिंडर मिळतात,P
समस्यांचे निराकरण सक्षमतेने करू शकाल,समस्यांचे सुयोग्य निराकरण होऊ शकेल,P
सोमवारी सकाळी जिल्हाधिकारी श्वेता सिंघल यांच्या हस्ते वृक्षरोपण करून ३३ कोटी वृक्ष लागवड कार्यक्रमाचा प्रारंभ जिल्ह्यात करण्यात आला,"सोमवारी जिल्ह्याधिकाऱ्यांतर्फे वृक्षांची लागवड करीत, ३३ कोटी वृक्ष लागवड उपक्रमांतर्गत यंदाच्या वृक्ष लागवड मोहिमेचा शुभारंभ करण्यात आला",P
"!, कोण म्हणोनि काय पुसता?",‘आम्ही कोण म्हणोनि काय पुसता?,NP
"मात्र, प्रयत्नांची कास सोडू नये","तथापि, आपले प्रयत्न सोडू नका",P
बंदी असताना गुटखाही नागपुरात मोठ्या प्रमाणात येत असल्याचेही पुढे आले,बंदी असताना नागपुरातही मोठ्या प्रमाणात गुटखा येत असल्याचे समोर आले,P
भारताने या गोष्टींना आक्षेप घेतला होता,या विरोधाभासावर भारताचा आक्षेप होता,P
ही चिंतेची बाब आहे,हे एक अत्यंत चिंतेचे कारण आहे.,P
एनआयओएसच्या जुलैमध्ये होणाऱ्या परीक्षा रद्द,"एनआयओएसच्या जुलैमध्ये होणाऱ्या परीक्षा रद्द, ऑनलाइन शैक्षणिक पर्यायांचा विचार करा",NP
"दरम्यान, येडियुरप्पा यांना गुरुवारी मुख्यमंत्रिपदाची शपथ देण्यात येणार असल्याचे समजते","येडियुरप्पा हे गुरुवारी मुख्यमंत्रिपदाची शपथ घेतील, असे सूत्रांचे म्हणणे आहे",P
५१ टीएमसी पाणीसाठा झाला असल्याची माहिती जलसंपदा विभागाकडून देण्यात आली,"५१ टीएमसी पाणीसाठा झाला आहे, अशी माहिती जलसंपदा विभागाकडून मिळाली",P
त्यांना आपल्या सोसायटी किंवा घरांच्या परिसरातच गणेश विसर्जन करावं लागणार आहे,त्यांना त्यांच्या सोसायटीत किंवा घरात गणेश विसर्जन करावे लागेल,P
कार्यक्रमानंतर महाप्रसादाचे वाटप करण्यात आले,सांगता सोहळ्यानिमित्त महाप्रसादाचे वाटप करण्यात आले,NP
भविष्यात याचा लाभ मिळेल,याचा भविष्यात उत्तम फायदा मिळेल,P
या प्रकरणी संबंधित डॉक्टरांनी पनवेल शहर पोलिसांकडे तक्रार केली आहे,याप्रकरणी संबंधित डॉक्टरने पनवेल शहर पोलिसात फिर्याद दिली आहे,P
