,marathi_text,label
43,"आमच्याकडे एक दुर्गंधीयुक्त लाल कम्युनिस्ट सहानुभूतीदार, एकटा नट आणि गणिताचा मूर्ख माणूस आहे ज्यामध्ये कोणतीही सामाजिक कौशल्ये नाहीत, सर्व एकामध्ये एकत्रित आहेत!",-1
44,मला समजले आहे की मला आता तुमच्यावर पालकत्व मिळवण्याचा कोणताही अधिकार नाही.,-1
45,हे संपूर्ण न्यायालय व्यवस्थाबाह्य आहे! ”,-1
46,तळघरातील उंदीर लटकत आहेत.,-1
47,तुम्ही माझ्या ओबो प्रॅक्टिसमध्ये अडथळा आणत आहात.,-1
48,- काल रात्री आम्ही जे केले ते... - मूर्ख.,-1
49,"ठीक आहे, पण हे बाळासाठी चांगले असू शकत नाही.",-1
50,मला याची कल्पना नव्हती.,-1
51,आज रात्री राहेल आणि माझ्यासोबत राहण्यासाठी तुझे स्वागत नाही.,-1
52,मी घाबरलो आहे!,-1
53,हो मला त्रास होतो.,-1
54,मला असे मूर्ख वाटले!,-1
55,कारण ते वेडे होईल?,-1
56,मला का काढत नाही?,-1
57,तुम्हाला त्याबद्दल चुकीचे कौतुक वाटत आहे.,-1
58,मला वाटलं तू येणार नाहीस.,-1
59,"बरं, माझी गांड मार आणि मला ज्युडी म्हण.",-1
60,"मी जवळजवळ रद्द केले, परंतु ते खरोखर नाही.",-1
61,येथे काही गू आहे!,-1
62,मी तीन मोठ्या माणसांना दुखावले.,-1
63,"बरं, आम्ही प्रत्यक्षात कधीच जेवायला गेलो नाही.",-1
64,"- अरे, मला ही कथा आवडत नाही.",-1
65,"अरे, बॉब, तो तुमच्या तुलनेत काहीच नव्हता.",-1
66,माणसाचा कुत्रा नुकताच मेला.,-1
67,ते खरोखरच मारते.,-1
68,पण डोळ्यात बोट चिकटवण्याचा तुम्हाला तिरस्कार वाटतो.,-1
69,"प्लीज, मी तिच्याकडून सात महिन्यांत ऐकले नाही, आणि आता ती मला कॉल करते.",-1
70,- तो कधीही चांगला नव्हता.,-1
71,जर त्याचा तुम्हाला काही अर्थ नसेल तर तिथून निघून जा.,-1
72,पुरुषी भ्रष्टतेची रात्र?,-1
73,मला माफ करा तुम्ही राहू शकत नाही.,-1
74,तुला माझा पायही मोडायचा आहे का?,-1
75,हे आणखी वाईट होत राहिले!,-1
76,"अरे, हे विचित्र आहे.",-1
77,पण ज्याला खरंच नको आहे अशा व्यक्तीसोबत मला राहायचं नाही.,-1
78,इतका वेळ एकत्र घालवणाऱ्या लोकांच्या गटावर माझा विश्वास बसत नाही.,-1
79,जर आपल्याकडे आपला शर्ट त्यांच्यात टेकला नसेल तर.,-1
80,आमच्या हनिमूनला एकट्याने जाण्याची हिंमत कशी झाली?,-1
81,हा माझा दोष कसा आहे?,-1
82,मला त्यांना शिक्षा करायची होती.,-1
83,तो सेक्स करतो आणि आपल्या डोक्यात मारतो!,-1
84,मी तिच्याशी कसा अविश्वासू होतो याबद्दल तिला खूप राग येतो.,-1
85,"मी आठवड्यातून चार वेळा जाण्याचा प्रयत्न करतो, पण गेल्या १२०० वेळा मी चुकलो.",-1
86,मला उभे राहता येत नव्हते.,-1
87,आम्हाला एक समस्या.,-1
88,पण म्हणा की आम्ही मित्र नव्हतो.,-1
89,हे असे आहे की आपण आपले संपूर्ण आयुष्य एखाद्या गोष्टीसाठी काम करता ... ... आणि आपण असे विचार करता की जेव्हा आपल्याला ते मिळेल ... ... हे आपण विचार करता तितके चांगले होणार नाही.,-1
90,"आम्ही फक्त घरी बसलो आहोत, जॉयच्या बोटांचा अंदाज घेण्याचा प्रयत्न करीत आहोत ... ... आणि आपण मेजवानी घेत आहात आणि मजा करत आहात आणि सर्व: ""अहो, ब्लोफिश, माझ्या मानेवर शोषून घ्या!""",-1
91,हा $20000 चा खरा चेक आहे यावर माझा विश्वास बसत नाही.,-1
92,आपण ते विसरतो.,-1
93,तू भयंकर स्कीअर आहेस.,-1
94,"नाही, इतके नाही.",-1
95,माझ्याकडे यासाठी वेळ नाही.,-1
96,तिने माझ्या कपड्यांसह उड्डाण केले!,-1
97,"दुर्दैवाने, आम्ही तुम्हाला येथे शहरात काम करताना पाहिले आणि ते खरे असल्याचे दिसते.",-1
98,मोनिकाचे खळखळून हसणे चीड आणणारे आहे,-1
99,जेव्हा तू म्हणालास की तू निघण्यापूर्वी जे काही करशील ते पॅकिंग आहे... ...तुम्ही माझ्याकडे फारसा पर्याय सोडला नाही.,-1
100,"दुर्दैवाने, आम्ही अनपेक्षितपणे क्लबमध्ये तिच्या पालकांना भेटलो.",-1
101,तू मला आवडतेस हे कबूल करायला तुला 10 वर्षे लागली.,-1
102,तुम्हाला जॉर्डीकडे परत जाण्याची काळजी का वाटेल?,-1
103,मार्ग नाही!,-1
104,आम्ही तुमचा नाश करू.,-1
105,माझे प्रमुख निरुपयोगी होते.,-1
106,"मला ""माफ करा"" असे म्हटले जात असल्याने मी आजारी आहे.",-1
107,"फक्त अनौपचारिकपणे पसरलेले... ...त्या बेपर्वा, अव्यवस्थित पद्धतीने?",-1
108,"मी फक्त म्हणत आहे, जर मी एड बेगले जूनियरचे आणखी एक चित्र पाहिले तर ... ... त्या मूर्ख इलेक्ट्रिक कारमध्ये ...",-1
109,बॉयफ्रेंडच्या रूपात भविष्यात कोणती निराशा?,-1
110,माझ्या बाबतीत वाईट गोष्टी घडतात.,-1
111,माझ्याबद्दल तारीख असल्याबद्दल काय विचित्र आहे?,-1
112,म्हणून मी सोडले.,-1
113,- मी तुझ्या बायकोसोबत झोपलो आहे.,-1
114,मी तिला पाठवणार्‍या कंपनीला कॉल केला आणि त्यांना काळजी नाही.,-1
115,मी गेल्या वर्षी दान केलेले माकड मला सापडत नाही.,-1
116,तुम्ही हे चुकीचे घेत आहात.,-1
117,तुमच्या माहितीसाठी ही अशी वेदना आहे जी कधीही अनुभवणार नाही.,-1
118,"- प्रिये, तुला एक समस्या आहे.",-1
119,तुम्ही अजूनही त्यासोबत संघर्ष करत आहात का?,-1
120,मी पूर्णपणे अनभिज्ञ आहे.,-1
121,तो अजून मुलींसोबत डान्स करायला चांगला नाही.,-1
122,"नाही, तसे नव्हते.",-1
123,"तुझी आई स्वर्गात आहे, ""जिथे नरक माझी कमळ आहे, तू वाईट!""",-1
124,"आणि मला असे म्हणण्याची गरज आहे की हे मला खूप अस्वस्थ करते ... ... आणि मी फक्त, तुला माहित आहे, फक्त ते थांबवा!",-1
125,तुम्ही सोफीला अस्वस्थ करत आहात.,-1
126,"- सॉरी, प्रोम क्वीन.",-1
127,"मी डेव्हला पाहिले, आणि तो म्हणाला की तू त्याला उडवून दिलेस!",-1
128,जर तुम्ही फक्त काही आठवडे फिरण्याचा विचार करत असाल तर तुम्ही ते नक्कीच करू नये.,-1
129,"चुकीचे नाव सांगण्याची वाईट वेळ, हं?",-1
130,होमो हेबिलिस अद्याप साधने वापरू शकत नाहीत आणि त्यांनी त्याला चिकणमातीची भांडी मिळविली आहेत?,-1
131,हे बंद होण्याचा कोणताही मार्ग नाही.,-1
132,"होय, मलाही तुझी आठवण येते.",-1
133,आम्ही खरोखर नाही.,-1
134,हे दुर्दैव आहे.,-1
135,"तुम्हाला माहिती आहे, मी कधीच काम केले नाही.",-1
136,आपण कधीही स्वतःवर हसण्यास सक्षम नाही.,-1
137,पोकर गेममध्ये तुम्ही जे काही ऐकता ते शुद्ध बकवास आहे.,-1
138,त्याचा उल्लेखही करण्यासारखा नाही.,-1
139,जर तुम्ही ते उधळले तर ते बेपर्वा खर्च करण्यासारखे होईल.,-1
140,मी सध्या तुझ्याकडे पाहू शकत नाही.,-1
141,"अरेरे, स्त्रियांवर माझी शक्ती वापरण्यासाठी मला पैसे जिंकावे लागतील.""",-1
142,ठीक आहे ते आम्हाला दुखावले.,-1
143,या सर्व स्त्रिया आणि काहीही नाही!,-1
144,काही विसरतोय ना?,-1
145,तू खूप सामान्य आहेस.,-1
146,अंधाराचे राजदूत.,-1
147,आता मूर्ख कोण आहे?,-1
148,हे खरचटलेल्या जुळ्या मुलांसाठी आहे.,-1
149,त्यांच्याकडे कधीच कागद नसतो.,-1
150,- असे दिसते की तिच्या भुवया खाली पडल्या आहेत.,-1
151,. . . . .कारण तुम्ही ते सर्व खाल्ले.,-1
152,. . . . .मी नुकतेच काहीतरी वाईट केले आहे.,-1
153,हे खूप वाईट आहे.,-1
154,तू तुझं लग्न उद्ध्वस्त केलंस... ...म्हणून आई-वडिलांच्या नजरेत भाऊ-बहिण कमी पडेल.,-1
155,मी काही करू शकत नाही.,-1
156,मला वाटतं सांगण्यासारखे काहीच उरले नाही... ...शिवाय...,-1
157,नोकऱ्या नाहीत.,-1
158,मोनिका: तुमची वचने पाळण्यासाठी मी तुमच्यापैकी कोणावरही विश्वास ठेवू शकत नाही ,-1
159,गोळीबार आणि सर्व काही माझ्यासाठी वेडा नाही?,-1
160,ते छान नव्हते.,-1
161,तसे होत नाही!,-1
162,तू तुझी पॅन्ट माझ्याकडे दाखवू नकोस!,-1
163,"या भागासाठी तुम्ही जबाबदार होता, आणि तो चांगला झाला नाही.",-1
164,माझ्यात अशा गोष्टी करण्याची हिंमत नाही.,-1
165,जर तुला खेळायचे नव्हते तर तू का आलास?,-1
166,आपण यावर विश्वास ठेवू शकता? मी करू शकत नाही,-1
167,"तिकडे कोणीतरी तिला मारत आहे!""",-1
168,तुम्हाला माहिती आहे की लोक इतके स्वत: ची गुंतलेली असू शकतात.,-1
169,"- होय, तिने माझ्याशी संबंध तोडले.",-1
170,मी तिच्याशी ब्रेकअप केले.,-1
171,"क्षमस्व, ते सर्व Apple पल पाईच्या बाहेर होते.",-1
172,तिला काय हवंय हेही कळत नाही.,-1
173,माझा विश्वास बसत नाही की तुझा माझ्यावर विश्वास नाही.,-1
174,डेव्हन कमकुवत घोट्याने त्रस्त आहे.,-1
175,वडिलांची अनुपस्थिती हे दुःखद आहे.,-1
176,चला कोणत्याही मानववंशशास्त्रज्ञांना आमंत्रित करू नका.,-1
177,- ते सोडा!,-1
178,"अरे देवा, आम्ही काय करू?",-1
179,ते मृत गंभीर आहेत.,-1
180,कठिण!,-1
181,"अन्यथा, आपण बॉक्समध्ये फक्त एक मूर्ख आहात.",-1
182,प्राणीसंग्रहालय आपल्याला सांगते त्या प्रत्येक गोष्टीवर आपला विश्वास आहे?,-1
183,ती चोर आहे!,-1
184,"मला वाटते की ते विचित्र आहे, तुम्हाला माहिती आहे?",-1
185,"अहो, मी चुकीची छाप दिली असल्यास क्षमस्व.",-1
186,"तुम्ही तिला लवकर बाहेर न विचारल्यास, तुम्ही कायमचे झोनमध्ये अडकून पडाल.",-1
187,"आपण काय म्हणता याची मला पर्वा नाही, काहीतरी तिला त्रास देत आहे.",-1
188,ते लबाडीचा चेहरा-लिफ्टच्या आधी आहे.,-1
189,"हो-हो-हो-होली बकवास, हे येथे गरम आहे का!",-1
190,तो अद्याप इथे का नाही?,-1
191,"तो माणूस, तो मला जाळून टाकतो.",-1
192,- हे खूप दुर्दैवी आहे.,-1
193,तुला वाटते की मी अंगठी चोरली आहे?,-1
194,...मी त्यात सहा तास बसेन आणि मी तुला कसे निराश केले याचा विचार करेन.,-1
195,तू आणि तुझी मूर्ख भीती!,-1
196,तिने मला फक्त दया दाखवून कामावर घेतले आणि माझ्या कौशल्यामुळे नाही.,-1
197,. . . . .आणि यात तुम्ही निष्पाप बळी आहात.,-1
198,मला अचानक मी... ...पडत असल्याची भावना झाली.,-1
199,बॉब रेडफोर्ड स्वतःलाही पाहणार नाही.,-1
200,मी फक्त सामोरे खूप आहे.,-1
201,मग आपण काही करू शकत नाही?,-1
202,माझे बाबा मला मारणार आहेत.,-1
203,-खूप भयंकर आहे हे!,-1
204,अर्थात आज रात्रीसाठी नाही.,-1
205,काल रात्रीबद्दल मला माफ करा.,-1
206,आणि मला माफ करा.,-1
207,ते खरोखर शोषून घेते.,-1
208,"""अरे, नाही!",-1
209,कोणत्याही क्षणी काहीतरी वाईट घडणार आहे असे वाटते.,-1
210,- काय डिंकस!,-1
211,माझे वडील कुठे आहेत हे तिला सांगायचे नाही.,-1
212,माझे संपूर्ण आयुष्य मला या ठिकाणाची भीती वाटते.,-1
213,मदत करत नाही.,-1
214,मग तुम्हा दोघांना ही गोष्ट माहीत आहे का?,-1
215,"खेदाची गोष्ट म्हणजे, राहेलने परिसर सोडून दिला आहे.",-1
216,मी तिच्याबद्दल आईच्या सुसाईड नोटमध्ये वाचले होते.,-1
217,त्याने स्वतःला तळघरात कोंडून घेतले होते.,-1
218,हेच मला मारणार आहे.,-1
219,तुम्ही कधीही ऐकलेले ते सर्वात विस्तृत गलिच्छ होते.,-1
220,"खूप भयंकर, अहो!",-1
221,"रॉस, अपेक्षेप्रमाणे, तू अनभिज्ञ आहेस.",-1
222,"मला एक फाटलेला रोटेटर कफ आहे, माझ्या उजव्या हाताला हेअरलाइन फ्रॅक्चर आहे.",-1
223,माझ्याकडे असेल पण माझ्या दुसऱ्या बाजूला स्पॅगेटीचा डाग होता.,-1
224,- तर माझ्या रेफ्रिजरेटरची लाईट संपली.,-1
225,ही कोणती अविश्वासू बँक आहे?,-1
226,तुम्ही हे खूप कठीण करत आहात.,-1
227,मला वाटले नाही की डॉक्टर खरेदी करतील की ते सॉकेटमधून पडले.,-1
228,"बरं, ते फक्त विभक्त झाले आहेत.",-1
229,मला माहित नाही की मला नेहमी वाटले की हे खरे गवत आहे.,-1
230,"नेक्टरीन्स, पण मूलत: समान निराशा.",-1
231,"किंवा ""अरे, आमच्यावर खूप बॉम्बस्फोट झाला!""",-1
232,माझा विश्वासच बसत नाही की मी स्वतःला पुन्हा बंद केले!,-1
233,नाही मी नाही!,-1
234,मला आता तुझा कंटाळा आला आहे.,-1
235,मुलांकडे लक्ष द्या!,-1
236,तिने तुमचा कोड क्रॅक केला यावर माझा विश्वास बसत नाही.,-1
237,जर तुला इतका त्रास होत असेल तर... ...मग मी आता खेळणार नाही.,-1
238,मी ख्रिसचा मेकअप करू शकत नाही.,-1
239,... मला मंगळवारपर्यंत घुंडी मिळू शकत नाही.,-1
240,आणि तू इथे एका हॉलवेमध्ये संथपणे बसला आहेस... ...लठ्ठ ओठ असलेल्या २८ वर्षांच्या चीअरलीडरसह.,-1
241,"पहा, मला ते माहित नव्हते.",-1
242,ते छळण्यासारखे होते.,-1
243,मला नेतृत्व कसे करावे हे माहित नाही.,-1
244,"माझ्याकडे कंस-वाई गोष्ट नाही, मला जेनम मुले दिसत नाहीत ... ... आणि मला माझे पाय जाणवू शकत नाहीत.",-1
245,जेव्हा आपण आणि रॉस प्रथम बाहेर जाऊ लागला ... ... हे माझ्यासाठी खरोखर कठीण होते ... ... बर्‍याच कारणांमुळे ज्याच्या मी आता तुला कंटाळणार नाही.,-1
246,"बरं, म्हणजे, मी माझ्या बहिणीची नाही ...काहीही.",-1
247,तुम्ही लहान मुलींचे पाय मोडले?,-1
248,"होय, आम्ही फक्त म्हणत होतो, ही संपूर्ण गोष्ट खूप मूर्ख आहे.",-1
249,मी दुःखी आहे.,-1
250,मी तुझ्या शेजारी आहे यावर माझा विश्वास बसत नाही.,-1
251,तुम्ही त्याला गॉगल घेण्यासाठी बोलावले असल्याने तो कदाचित जास्तच वेडा झाला आहे.,-1
252,ही संपूर्ण ब्रेकअप गोष्ट केवळ मूर्खपणाची आहे.,-1
253,मला माहित आहे की हे थोडेसे अचानक आहे आणि घाई झाली आहे.,-1
254,त्याबद्दल त्याला कोणापेक्षा जास्त लाज वाटली.,-1
255,"मित्रांनो, मी नाही.",-1
256,माझ्या आई-वडिलांचा घटस्फोट होत असताना मला खूप वाघ मिळाले.,-1
257,आणि मी इथे राहिलो तर मला ते घडताना दिसत नाही.,-1
258,"रॉस, तुम्हाला माहिती आहे, मी एक दशलक्ष वेळा मला माफ करा असे म्हटले आहे.",-1
259,लंडन मूर्ख आहे!,-1
260,ते पाठीमागे स्पेलिंग मदत करते.,-1
261,तुमचा मूड नाही असे म्हणता येत नाही का?,-1
262,- माझ्या डोळ्यात बर्फ आला!,-1
263,ती दुकानात खरेदी करते की मला विक्रेते घाबरतात.,-1
264,आणि दुःखी.,-1
265,की स्त्रिया आवडतात अशा स्त्रीसाठी तिने तुला सोडले?,-1
266,कोणालाही माझे उत्पादन नको आहे.,-1
267,पण ईशान्येच्या खुनाच्या राजधानीकडे जाण्यापूर्वी...,-1
268,आणि त्याहूनही कमी लोक हे त्यांच्या गाढवांसह करतात.,-1
269,"तुला माहित आहे की आम्ही कसे होतो, तुला माहित आहे, आधी बोलतोय... ...नात्यांबद्दल आणि गोष्टींबद्दल, बरं... - अरे, देव, रॉस, मी हे करू शकत नाही.",-1
270,मला त्याची खूप काळजी वाटते!,-1
271,तुम्हाला हे सोडून द्यावे लागेल!,-1
272,ते आणखी वाईट कसे असू शकते?,-1
273,"मला माहित नाही, मला एकटे वाटते.",-1
274,मी कामात अडकलो.,-1
275,जर मला आणखी 28 वर्षे वाट पाहावी लागली तर मला मूल होण्यापूर्वी मी 56 वर्षांचा असेल.,-1
276,तुम्ही लोक माझ्यासोबत लेक्चरला कधीच जाणार नाहीत.,-1
277,एवढ्या छोट्या नोटीसवर एवढी मोठी गोष्ट हाताळण्यासाठी माझ्याकडे पैसे किंवा उपकरणे नाहीत.,-1
278,तुझं ब्रेकअप?,-1
279,मी हे सर्व गमावले.,-1
280,"- नाही, नाही, डॉगी, कृपया!",-1
281,तुझ्या गाढवाला लाथ मारण्यासाठी मी दिवसातून दोन मिनिटे काढू शकतो.,-1
282,"शिवाय, अशा व्यक्ती अस्तित्वात आहेत ज्या सतत पेमेंट टाळण्याचा प्रयत्न करतात.",-1
283,तो फक्त एक घृणास्पद उंदीर आहे.,-1
284,"बरं, मी नुकतीच नोकरी गमावली आहे आणि मी पैज 5 रुपये वाढवू इच्छितो.",-1
285,मग मी ते हरवले.,-1
286,"बाहेर पडा, आपण डोफस!",-1
287,प्रिये तू आता हे बोलणे थांबवायला हवे.,-1
288,निराशेने गादीचे शोरूम भरते.,-1
289,आमच्या लग्नात त्यांनी आतापर्यंत चिरलेली यकृत पॅक केली होती.,-1
290,- माझा विश्वास बसत नाही.,-1
291,"- ठीक आहे, याचा तिरस्कार करत आहे.",-1
292,या आठवड्यात मी आधीच बनावट वडील गमावले आहेत.,-1
293,त्याऐवजी ब्रेकअप होणार होते.,-1
294,"तुम्हाला माहीत आहे, कधी कधी फक्त गोष्टी काम करत नाहीत.",-1
295,मला भीती वाटत होती की तुम्ही घाबरून जाल.,-1
296,मी कार्लबरोबर जे काही केले त्यामधून तिला जावे असे मला वाटत नाही.,-1
297,आता तू सिंगल आहेस.,-1
298,तुम्हाला वचनबद्धतेची भीती आहे.,-1
299,"बरं, मी आजूबाजूची झाडं घासून खूप थकलो आहे.",-1
300,"मला असे वाटते की तेथे फसव्या स्त्रियांची फौज लपलेली आहे, माझे आयुष्य उध्वस्त करण्याची आतुरतेने वाट पाहत आहे.",-1
301,ती एक समस्या आहे का?,-1
302,त्या मुलांना रस्त्यावरुन त्यांचीही मिळू शकली नाही.,-1
303,आणि लियामचे गुडघे खराब झाले.,-1
304,आणि तू आता माझा मित्र नाहीस!,-1
305,मी हे खूप कठीण करत आहे?,-1
306,ते चांगले नाही.,-1
307,"जर तुम्हाला बरे वाटले तर, माझा दिवस खूप वाईट गेला आहे.",-1
308,माझा विश्वासच बसत नाही की आम्ही इथे राहत आहोत!,-1
309,"मी तुला सांगतोय, तू चुकीचा माणूस आहेस!",-1
310,मला माहित आहे की आज मी मिस्टर अयोग्य आहे पण ते खूप कठीण आहे.,-1
311,हे पूर्णपणे निरुपयोगी आहे.,-1
312,जॉयने त्याच्या स्टॉकरबरोबर जेवण केल्यावर माझा विश्वास नाही!,-1
313,"माफ करा, माझी गोष्ट माझ्यासोबत होती.",-1
314,"बरं, कठीण गोष्ट म्हणजे तिला माझ्याशी खरोखर सेक्स करायचं आहे.",-1
315,याचे उत्तर देऊ नका.,-1
316,मग त्याचे नाव नक्कीच घेऊ नका!,-1
317,माझा विश्वासच बसत नाही की मी त्याला त्या बोटांनी मला कधी स्पर्श करू दिला.,-1
318,तू कधीच दिसत नाहीस.,-1
319,तू बाहेरही जात नाहीस!,-1
320,त्यांची बोलण्याची पद्धत तुम्हाला आवडत नाही का?,-1
321,म्हणून मी ते बॉल केले आणि आता माझी इच्छा आहे की मी मेला असते.,-1
322,"पाच पर्यायांपैकी, त्यापैकी तब्बल चार निरुपयोगी आहेत.",-1
323,"मला असे वाटते की एखाद्याने माझ्या लहान आतड्याला पकडले आहे, ते माझ्या तोंडातून बाहेर काढले ... ... ... आणि माझ्या मानेभोवती बांधले.",-1
324,तुमचे कार्ड चोरणाऱ्या महिलेसोबत तुम्ही कसे नाचू शकता?,-1
325,अंडरडॉगमध्ये काहीतरी चूक झाली... ...आणि ते त्याचे डोके फुगवू शकले नाहीत.,-1
326,आता नाही.,-1
327,जर ती मजा करत नसेल तर तिला अजिबात डेट का करायचं?,-1
328,बघ मी आत्ता हे करू शकत नाही.,-1
329,"जेव्हा एखादी व्यक्ती आपल्याला गोंधळ घालत नाही, रॉस, याचा अर्थ ""दूर जा"".",-1
330,तर तुम्ही इसाकचा काही उल्लेख केला नाही?,-1
331,आपण तिच्याशी हे करू शकत नाही.,-1
332,मी तो नाही ज्याला तो ब्रेक हवा होता.,-1
333,हॉकी ही मोठी चूक होती.,-1
334,आणि मग माझ्या आईने मला घराबाहेर बंद केले जेणेकरून मला ते सापडले नाही.,-1
335,"निरोप, आपण फळ-कोरडे मनोरुग्ण.",-1
336,कारण मी करू शकतो आणि माझी आई करू शकत नाही.,-1
337,मला माहित नाही की तो माझी परीक्षा करतोय की फक्त अभिनय करतोय... ...पण माझे माकड नियंत्रणाबाहेर गेले आहे.,-1
338,"त्याची बायको मेली, भाऊ बेपत्ता.",-1
339,"अरे, नाही, नाही.",-1
340,रूममेट म्हणून मुलगी असणे कधी कधी एक भयानक स्वप्न असू शकते!,-1
341,हे सभागृहात नकोसे जमल्यासारखे वाटते.,-1
342,-आतापर्यंत हा प्रकार वार.,-1
343,"अहो, मनुष्य आणि त्याच्या दाराचे निषिद्ध प्रेम.",-1
344,रॉस तू खुरटत होतास!,-1
345,मला त्या मार्गाने भाग नको होता.,-1
346,प्रत्येकाला आपल्याशी सहमत करण्याची या वेडापिसा गरज काय आहे?,-1
347,तुम्ही तुमच्या मुलांना चक ई. चीजकडे घेऊन गेलात आणि तुम्ही तिचे चुंबनही घेतले नाही.,-1
348,दयनीय पराभवासाठी जागा आहे का?,-1
349,याचा काही अर्थ नाही.,-1
350,चँडलर: अरे देवा.,-1
351,कधीकधी आपण इतके मोठे त्रासदायक बाळ होऊ शकता.,-1
352,मी तुम्हाला सांगितले की तुम्ही ते विकून पहावे असे मला वाटत नाही.,-1
353,दुर्दैवाने मी मिंडीसाठी स्थायिक झालो.,-1
354,"पहा, माझा यावर विश्वास नाही.",-1
355,याचा अर्थ असा आहे की मी कुकीज विकू शकतो परंतु मला स्लीपओव्हरसाठी आमंत्रित केले नाही.,-1
356,"- बरं, मी घटस्फोटित आहे.",-1
357,आणि तीन... ... हे खूप दुखते.,-1
358,"मित्रांनो, मी हेतुपुरस्सर वाईट खेळलो.",-1
359,तो खूप लाजाळू आहे.,-1
360,. . . . .हे चँडलरचा विश्वासघात करण्यासारखे आहे.,-1
361,या महिलेवर निःशब्द बटण आहे का?,-1
362,". . . . .by, तुला माहीत आहे, तिचे बुब पकडणे.",-1
363,"आणि ते बंद करण्यासाठी, आमच्या संरक्षकांपैकी एक गेला आणि त्यांचा संपूर्ण बिलफोल्ड येथे विसरला.",-1
364,आपण आम्हाला अडचणीत आणले यावर माझा विश्वास नाही.,-1
365,असे आहे... ...मदर तेरेसा सारख्या चांगल्या आई नाहीत.,-1
366,"आपण डॉ. वेनबर्गला वचन दिले होते की आपण ते वाक्यांश कधीही वापरणार नाही, परंतु तरीही आपण ते केले.",-1
367,हे खूप दु: खी आहे.,-1
368,"बरं, तो तुमचा मित्र नाही का?",-1
369,तुम्ही दुधाचा ग्लास आणायला जा... ...पण ही काडतुसे इतकी लटकत आहेत की उघडणे कठीण आहे!,-1
370,"नाही, अमिश मुलगा.",-1
371,ते इतके क्रूर आहे.,-1
372,मी बॉयफ्रेंड मटेरियल नाही का?,-1
373,जर हा तुमच्यासाठी मोठा विनोद असेल तर त्याबद्दल विसरून जा.,-1
374,मला माहित आहे की काहीतरी चुकीचे आहे कारण काल ​​माझी नखे अजिबात वाढली नाहीत.,-1
375,आम्ही तिला आत्ताच फोन केला तर... ...खोटे नाव वापरून ती माझ्या ऑफिसमध्ये आली असती तर?,-1
376,त्याने गालिचे उचलले आणि आता आपण सर्वकाही ऐकू शकता.,-1
377,- तू खूप वाईट आहेस!,-1
378,आयुष्यात घाई कशाला?,-1
379,"हे असे आहे, अचानक, मी आंधळे आहे ... ... परंतु माझ्या इतर सर्व संवेदना अधिक वाढल्या आहेत.",-1
